;Country;Year;Sex;BMI;SBP;FAT;AtRisk
0;Afghanistan;1980;male;21.48678;125.1991;4.582847;No
1;Afghanistan;1981;male;21.46552;125.2157;4.575943;No
2;Afghanistan;1982;male;21.45145;125.2491;4.570482;No
3;Afghanistan;1983;male;21.43822;125.309;4.566239;No
4;Afghanistan;1984;male;21.42734;125.3442;4.561473;No
5;Afghanistan;1985;male;21.41222;125.3584;4.555119;No
6;Afghanistan;1986;male;21.40132;125.4051;4.550215;No
7;Afghanistan;1987;male;21.37679;125.4011;4.54051;No
8;Afghanistan;1988;male;21.34018;125.3434;4.524835;No
9;Afghanistan;1989;male;21.29845;125.2586;4.507305;No
10;Afghanistan;1990;male;21.24818;125.1438;4.485937;No
11;Afghanistan;1991;male;21.20269;125.0541;4.466601;No
12;Afghanistan;1992;male;21.14238;124.9136;4.440605;No
13;Afghanistan;1993;male;21.06376;124.7142;4.407258;No
14;Afghanistan;1994;male;20.97987;124.5248;4.37231;No
15;Afghanistan;1995;male;20.91132;124.3947;4.340544;No
16;Afghanistan;1996;male;20.85155;124.3387;4.312903;No
17;Afghanistan;1997;male;20.81307;124.354;4.290718;No
18;Afghanistan;1998;male;20.78591;124.4236;4.272516;No
19;Afghanistan;1999;male;20.75469;124.5021;4.251635;No
20;Afghanistan;2000;male;20.69521;124.5272;4.221958;No
21;Afghanistan;2001;male;20.62643;124.5751;4.190959;No
22;Afghanistan;2002;male;20.59848;124.7101;4.171098;No
23;Afghanistan;2003;male;20.58706;124.8847;4.155508;No
24;Afghanistan;2004;male;20.57759;125.041;4.139688;No
25;Afghanistan;2005;male;20.58084;125.2112;4.127613;No
26;Afghanistan;2006;male;20.58749;125.3705;4.115781;No
27;Afghanistan;2007;male;20.60246;125.5242;4.106099;No
28;Afghanistan;2008;male;20.62058;125.6672;4.095997;No
29;Afghanistan;1980;female;20.44348;122.0799;4.644476;No
30;Afghanistan;1981;female;20.47765;122.2677;4.637118;No
31;Afghanistan;1982;female;20.52292;122.4872;4.63077;No
32;Afghanistan;1983;female;20.56493;122.7061;4.625318;No
33;Afghanistan;1984;female;20.60867;122.9095;4.619873;No
34;Afghanistan;1985;female;20.64796;123.0919;4.613289;No
35;Afghanistan;1986;female;20.68983;123.2892;4.607698;No
36;Afghanistan;1987;female;20.70902;123.4189;4.59808;No
37;Afghanistan;1988;female;20.71512;123.5137;4.583443;No
38;Afghanistan;1989;female;20.71421;123.5832;4.567768;No
39;Afghanistan;1990;female;20.70504;123.6358;4.548429;No
40;Afghanistan;1991;female;20.70117;123.6932;4.530924;No
41;Afghanistan;1992;female;20.67746;123.702;4.508653;No
42;Afghanistan;1993;female;20.63639;123.6624;4.48069;No
43;Afghanistan;1994;female;20.59074;123.6136;4.451836;No
44;Afghanistan;1995;female;20.5675;123.6216;4.425866;No
45;Afghanistan;1996;female;20.55575;123.6593;4.402843;No
46;Afghanistan;1997;female;20.56759;123.7363;4.385135;No
